txt,Text
htm,"Web page"
html,"Web page"
zip,"ZIP Compressed Archive"
php,"PHP Script"
phtml,"PHP Script"
pdf,"PDF Portable document format"
png,"Public Network graphic"
jpg,"JPEG graphic"
jpeg,"JPEG graphic"
gif,"Graphics Interchange Format"
mp2,"Mpeg audio file (xing)"
mp3,"mp3PRO Audio"
mp4,"MPEG-4 Video"
psd,"Adobe PhotoShop"
aiff,"Audio Interchange File Format"
aif,"Audio Interchange File Format"
au,"Basic Audio"
avi,"Multimedia Audio/Video"
bat,"PC batch file"
bmp,"Windows BitMap"
class,Java
java,Java
csv,"Comma separated CSV"
cvs,Canvas
dbf,"dBase database"
dif,"Data Interchange format"
doc,"Microsoft Word"
docx,"Microsoft Word"
eps,"Encapsulated PostScript"
exe,"PC Application"
fm3,"Filemaker Pro database"
hqx,"Macintosh BinHex"
mac,MacPaint
map,"Web page imagemap"
mdb,"MS Access database"
mid,"MIDI sound"
midi,"MIDI sound"
mov,"QuickTime Audio/Video"
qt,"QuickTime Audio/Video"
mtb,MiniTab
mtw,MiniTab
p65,PageMaker
t65,PageMaker
ppt,PowerPoint
pptx,PowerPoint
psp,"PaintShop Pro"
qxd,QuarkXPress
ra,RealAudio
rtf,"Rich Text Format"
sit,"Stuffit Compressed Archive"
tar,"UNIX TAR Compressed Archive"
tif,"TIFF graphic"
wav,"Windows sound"
wk3,"Lotus 1-2-3"
wks,"MS Works"
wpd,WordPerfect
wp5,WordPerfect
xls,"Excel spreadsheet"
xlsx,"Excel spreadsheet"
a,"Ada source code"
a0?,"ALZip Split Archive"
a11,"Graphics AIIM image"
a2b,"A2B Player Playlist"
a3d,"Amapi 3D Modeling"
a3m,"Unpackaged Authorware MacIntosh"
a3w,"Unpackaged Authorware Windows"
a4a,"Authorware 4.x Library"
a4m,"Unpackaged Authorware MacIntosh"
a4p,"Authorware file packaged without runtime"
a4w,"Unpackaged Authorware Windows"
a5w,"Unpackaged Authorware Windows"
aa,"Audible Audio"
aab,"Macromedia Authorware Binary"
